Stage,Area,Check,Owner,Status,Evidence or notes
Before launch,Content,"Approved page copy, headings, links and calls to action are complete",,,
Before launch,Metadata,"Unique titles, descriptions, canonicals and social metadata are present",,,
Before launch,SEO,"Robots directives and XML sitemap match the intended indexability",,,
Before launch,Migration,"Old URLs have an explicit redirect or retirement decision",,,
Before launch,Architecture,"Navigation, breadcrumbs and contextual internal links reach important pages",,,
Before launch,Images,"Images have useful filenames, dimensions, responsive delivery and appropriate alt text",,,
Before launch,Responsive,"Key journeys work at small mobile, large mobile, tablet and desktop widths",,,
Before launch,Accessibility,"Heading order, landmarks, labels, focus and keyboard interaction are checked",,,
Before launch,Accessibility,"Colour contrast, touch targets and reduced-motion behaviour are checked",,,
Before launch,Forms,"Labels, validation, error, success and spam-handling states are real and accessible",,,
Before launch,Contact,"Email, phone, WhatsApp, maps and external links use the correct destinations",,,
Before launch,Analytics,"Consent, analytics and tag-manager behaviour is documented and validated",,,
Before launch,Events,"Primary conversions and supporting events fire once with correct definitions",,,
Before launch,Performance,"Priority templates are checked for loading, layout shift and interaction issues",,,
Before launch,Security,"No private keys, tokens, passwords or private environment files are exposed",,,
Before launch,Legal,"Privacy and required legal information match actual collection and providers",,,
Launch,DNS,"Canonical domain, www redirect, HTTPS and certificate status are verified",,,
Launch,Production,"Every public route returns the intended status and renders without console errors",,,
After launch,Crawl,"Production crawl checks redirects, canonicals, broken links and indexability",,,
After launch,Search,"Search Console property, sitemap submission and important URL inspection are completed",,,
After launch,Measurement,"Real test conversions are reconciled across website and reporting systems",,,
After launch,Monitoring,"Important pages, uptime, indexing and conversion quality have named owners",,,
