Area,Check,Evidence or affected URLs,Priority,Owner,Status,Validation
Context,"Business objective, target markets and qualified conversion are documented",,,,,
Context,"Priority services, products, locations and templates are identified",,,,,
History,"Redesigns, migrations, domain changes and known performance events are recorded",,,,,
Crawling,"Important pages are internally discoverable and return the intended status",,,,,
Crawling,"Robots.txt rules match the intended crawl policy",,,,,
Indexing,"XML sitemap contains canonical indexable URLs and excludes redirects or errors",,,,,
Indexing,"Canonical signals, redirects, internal links and sitemap URLs are consistent",,,,,
Indexing,"Search Console index coverage is reviewed by template and business importance",,,,,
Technical,"Rendered pages contain essential content, links and metadata",,,,,
Technical,"Mobile layouts, interaction and important content are usable",,,,,
Technical,"Core templates are reviewed for performance and layout stability",,,,,
Technical,"Structured data matches visible content and validates",,,,,
Architecture,"Keyword and intent clusters map to one strongest appropriate page",,,,,
Architecture,"Missing commercial, category, location and informational destinations are identified",,,,,
Architecture,"Potential cannibalisation is reviewed using queries, rankings and page purpose",,,,,
On-page,"Titles, descriptions, H1s and early answers clearly express page purpose",,,,,
Content,"Content answers the task with original context, entities, evidence and useful structure",,,,,
Content,"Unsupported claims, invented proof and unnecessary repetition are removed",,,,,
Internal links,"Important pages receive relevant navigation and contextual internal links",,,,,
Internal links,"Orphan pages, excessive click depth and misleading anchor text are addressed",,,,,
Local SEO,"Real business details, location pages and Google Business Profile connections are accurate",,,,,
Measurement,"Primary conversions and supporting events have documented definitions",,,,,
Measurement,"Search Console, analytics, advertising and business data limitations are recorded",,,,,
Conversion,"Priority organic landing pages have credible proof and a clear next action",,,,,
Roadmap,"Each recommendation has impact, confidence, effort, dependency and risk context",,,,,
Roadmap,"Every action has an owner and a defined completion check",,,,,
