Section,Question,Your answer,Evidence or link,Owner
Business,"What does the business sell and how does it make money?",,,
Business,"Which products, services, locations or customer groups matter most?",,,
Objective,"What business result should marketing improve?",,,
Objective,"What exactly counts as a qualified lead, booking, sale or other primary conversion?",,,
Audience,"Who is the priority audience and where are they located?",,,
Audience,"What problem, trigger or decision brings them into the market?",,,
Offer,"Why should the audience choose this offer instead of the closest alternative?",,,
Offer,"What prices, conditions, eligibility rules or operational limits must be clear?",,,
Demand,"What do customers search for, ask about and compare before acting?",,,
Current marketing,"Which SEO, paid, social, email, referral or offline channels are active?",,,
Current performance,"What results are visible and how are they currently defined?",,,
Website,"Which pages receive traffic and which pages should convert it?",,,
Website,"Where do visitors or leads appear to hesitate, leave or become unqualified?",,,
Proof,"Which genuine reviews, examples, qualifications, people, policies or results can be shown?",,,
Creative,"Which photography, video, design, customer stories and subject-matter experts are available?",,,
Measurement,"Which analytics, Search Console, advertising, CRM or sales systems are available?",,,
Measurement,"What attribution, consent or data-quality limitations are already known?",,,
Operations,"Who owns access, content, design, development, approvals and lead follow-up?",,,
Budget,"What service-fee and media-spend ranges are realistically available?",,,
Timing,"What deadline, launch, season or business event affects the plan?",,,
Constraints,"What legal, brand, technical, production or operational constraints cannot be ignored?",,,
Priority,"What is the single biggest current growth constraint?",,,
